Id,SalePrice
1461,126085.55
1462,159178.37
1463,162390.48
1464,176289.5
1465,213003.9
1466,181530.1
1467,169098.05
1468,171370.6
1469,186344.55
1470,126315.66
1471,205368.28
1472,106080.19
1473,98636.58
1474,155860.15
1475,163664.13
1476,348414.47
1477,267577.05
1478,314305.68
1479,273431.51
1480,383005.85
1481,300503.82
1482,212645.9
1483,172400.95
1484,180010.95
1485,171722.15
1486,207669.57
1487,298543.59
1488,275482.5
1489,201809.3
1490,191178.68
1491,196035.08
1492,109185.13
1493,178783.85
1494,300505.56
1495,289663.87
1496,212778.18
1497,187400.28
1498,160389.85
1499,160012.5
1500,145837.58
1501,164716.2
1502,166224.85
1503,272062.76
1504,247667.73
1505,211795.94
1506,189245.07
1507,214176.37
1508,204968.4
1509,163711.9
1510,146484.37
1511,145488.0
1512,153254.0
1513,169490.0
1514,152471.45
1515,160281.25
1516,160756.22
1517,156059.7
1518,143263.25
1519,226088.28
1520,137581.75
1521,142247.87
1522,169008.35
1523,117378.25
1524,126116.12
1525,131224.26
1526,131921.57
1527,104604.74
1528,133710.0
1529,143530.5
1530,172918.5
1531,127912.82
1532,113731.34
1533,142757.96
1534,128931.71
1535,134944.36
1536,116040.45
1537,97422.6
1538,230341.95
1539,254131.62
1540,123121.15
1541,157805.96
1542,127149.62
1543,225117.39
1544,102169.95
1545,120156.61
1546,143954.25
1547,121585.02
1548,138913.85
1549,98519.55
1550,130483.27
1551,135740.75
1552,129821.7
1553,141264.12
1554,126699.32
1555,161989.21
1556,109084.25
1557,132466.75
1558,117729.94
1559,108790.7
1560,125661.93
1561,141687.62
1562,123221.95
1563,120484.57
1564,159317.49
1565,135523.63
1566,219422.61
1567,94177.42
1568,225115.0
1569,147008.49
1570,150494.2
1571,138797.44
1572,142970.25
1573,226889.4
1574,144835.27
1575,219634.26
1576,212305.4
1577,200471.6
1578,159423.25
1579,138124.38
1580,191361.4
1581,143168.16
1582,126478.64
1583,294399.96
1584,225043.05
1585,146901.0
1586,93331.64
1587,98959.74
1588,145988.5
1589,120039.26
1590,147653.0
1591,117535.77
1592,141530.38
1593,134946.37
1594,118890.42
1595,121970.33
1596,221749.22
1597,159853.66
1598,190812.31
1599,232156.8
1600,210550.8
1601,89109.93
1602,136965.21
1603,100202.99
1604,279255.6
1605,270653.68
1606,173035.2
1607,200717.87
1608,210735.75
1609,190999.08
1610,126274.01
1611,158389.27
1612,153134.8
1613,165512.15
1614,126487.37
1615,99746.36
1616,93048.76
1617,96370.37
1618,124233.69
1619,133558.11
1620,151040.05
1621,124277.18
1622,126695.62
1623,269193.56
1624,197474.42
1625,143451.11
1626,180727.0
1627,176804.35
1628,271442.94
1629,173052.75
1630,307526.2
1631,229771.93
1632,254885.03
1633,166759.1
1634,173489.35
1635,175681.65
1636,167564.51
1637,164310.18
1638,223951.78
1639,182317.95
1640,240290.15
1641,177891.05
1642,224759.28
1643,245528.86
1644,239186.16
1645,159281.65
1646,166800.0
1647,181905.05
1648,141733.46
1649,133860.08
1650,119774.24
1651,124460.2
1652,110411.69
1653,107890.69
1654,157180.58
1655,165447.7
1656,154247.5
1657,155889.23
1658,156117.5
1659,166865.76
1660,149652.48
1661,377120.05
1662,345233.01
1663,331849.6
1664,450247.0
1665,312098.16
1666,297954.51
1667,316144.57
1668,305766.06
1669,284151.59
1670,306570.88
1671,258518.5
1672,382256.2
1673,293103.39
1674,269529.98
1675,184208.99
1676,189066.7
1677,211097.8
1678,458203.42
1679,311101.19
1680,307016.36
1681,270087.29
1682,292279.55
1683,197368.84
1684,170741.9
1685,171370.2
1686,180604.7
1687,166454.15
1688,187234.74
1689,184313.38
1690,182745.2
1691,170110.4
1692,255261.58
1693,166482.6
1694,172995.0
1695,167917.45
1696,243978.89
1697,173579.73
1698,314180.63
1699,289557.44
1700,233930.44
1701,272803.65
1702,271905.67
1703,272336.54
1704,297315.53
1705,234400.91
1706,362699.42
1707,209616.25
1708,204455.84
1709,289544.78
1710,248288.6
1711,266005.43
1712,254262.15
1713,243911.61
1714,217927.6
1715,194671.7
1716,184993.98
1717,173036.5
1718,145551.55
1719,220362.49
1720,258668.02
1721,181063.65
1722,143841.18
1723,149956.45
1724,220230.96
1725,229262.48
1726,189146.74
1727,177479.32
1728,182047.48
1729,169578.14
1730,186860.64
1731,118642.61
1732,125920.48
1733,123092.98
1734,124696.15
1735,125581.91
1736,112218.61
1737,312765.33
1738,234233.93
